English,Fon
knowing it was out of envy that the chief priests had handed Jesus over to him. ,Đó é mɔ nǔ jɛ wú ɖɔ mɛnúvɛ́mɛwú wɛ zɔ́n bɔ vɔ̌sánú-xwlémawutɔ́gán lɛ́ɛ wlí Jezu wá jó nú émí. 
But the chief priests stirred up the crowd to have Pilate release Barabbas instead. ,Vɔ̌sánú-xwlémawutɔ́gán lɛ́ɛ ka fɔ́n hun dó jǐ nú mɛ lɛ́ɛ nú yě ní byɔ́ ɖɔ é ní gbɔ bó ɖe Balabási nyi te nú émí. 
"“What shall I do, then, with the one you call the king of the Jews?” Pilate asked them. ","Pilátu ka yí xó, bó kanbyɔ́ yě ɖɔ: “Nɛ̌ wɛ un ka ná wa mɛ e mi nɔ ylɔ́ ɖɔ Jwifu lɛ́ɛ xɔ́sú ɔ́ sín nǔ gbɔn?” "
“Crucify him!” they shouted. ,"Bɔ yě bǐ sú xó, bo ɖɔ: “Ká ɛ nyi aklúzu jí.” "
"“Why? What crime has he committed?” asked Pilate. But they shouted all the louder, “Crucify him!” ","Pilátu lɛ́ vɔ́ kanbyɔ́ yě ɖɔ: “Nǔ nyanya tɛ́ é ka wa?” Bɔ agun ɔ́ lɛ́ sú xó syɛ́nsyɛ́n, bó ɖɔ: “Ká ɛ nyi aklúzu jí.” "
"Wanting to satisfy the crowd, Pilate released Barabbas to them. He had Jesus flogged, and handed him over to be crucified. ","Pilátu ka jló ná nyɔ́ ɖo yě sí, bo ɖe Balabási nyi te nú yě; é ka zɔ́n bɔ è xo Jezu, bɔ é jó e nú yě, nú yě na ká ɛ nyi aklúzu jí. "
"The soldiers led Jesus away into the palace (that is, the Praetorium) and called together the whole company of soldiers. ","Sɔ́ja lɛ́ɛ kplá Jezu yi hɔnmɛ, lobo ylɔ́ ahwankpá ɔ́ bǐ kplé. "
"They put a purple robe on him, then twisted together a crown of thorns and set it on him. ","Yě sɔ́ awu gaga vɔ́vɔ́ ɖé dó n'i, lobo sɔ́ wun dó lɔn axɔ́súgbákún ɖokpó, bó zé xwe n'i. "
"And they began to call out to him, “Hail, king of the Jews!” ","Bó jɛ gbe dó e jí ɖɔ: “Mǐ kan xwé byɔ́, Jwifu lɛ́ɛ xɔ́sú!” "
"Again and again they struck him on the head with a staff and spit on him. Falling on their knees, they paid homage to him. ","Yě nɔ dó fántín ta n'i, bó nɔ́ tún atán kɔn nyi wútu tɔn, bó nɔ́ jɛ kpo nukɔn tɔn, bó nɔ́ ɖe kɔ́ n'i. "
"And when they had mocked him, they took off the purple robe and put his own clothes on him. Then they led him out to crucify him. ","Ée yě cá ɛ ko mɔ̌ káká ɔ́, yě wǎ ɖe awu vɔ́vɔ́ ɔ́ sín kɔ n'i, lobo fɔ awu é ɖésúnɔ tɔn lɛ́ɛ dó n'i, bó kplá ɛ tɔ́n sín xwé ɔ́ gbe, bó ná yi ká ɛ nyi aklúzu jí. "
"A certain man from Cyrene, Simon, the father of Alexander and Rufus, was passing by on his way in from the country, and they forced him to carry the cross. ","Sinmɔ́ɔ Silenɛ́ɛnu ɔ́ gosín gleta wá xweyǐgbe. Alɛsándlu kpódó Hlufúsi kpó sín tɔ́ wɛ. Sɔ́ja lɛ́ɛ zɔ́n ɛ gǎnnugǎnnu, ɖɔ é ní ɖíɖá aklúzu Jezu tɔn. "
They brought Jesus to the place called Golgotha (which means The Place of the Skull). ,Yě kplá Jezu yi tɛn e mɛ è nɔ ylɔ́ ɖɔ Gɔlugɔta dó Ebléegbe mɛ é. Gɔlugɔta ɔ́ sín tínmɛ wɛ nyí “takágo tɛnmɛ”. 
"Then they offered him wine mixed with myrrh, but he did not take it. ",Yě ná ɛ vɛ̌ɛn e è cáká kpódó mǐla kpó é
"And they crucified him. Dividing up his clothes, they cast lots to see what each would get. ","Bɔ yě ká ɛ nyi aklúzu jí, bó nyi akɔ dó awu tɔn lɛ́ɛ, bó má yětɔn yětɔn. "
It was the third hour when they crucified him. ,Zǎnzǎn gan tɛ́nnɛ mɛ mɔ̌ wɛ yě ká ɛ nyi aklúzu jí. 
The written notice of the charge against him read: THE KING OF THE JEWS. ,Yě wlán nǔ e wú yě ɖó kúhwɛ n'i ɔ́ ɖó ta tɔn nu ɖo aklúzu ɔ́ jí ɖɔ: “Axɔ́sú Jwifu lɛ́ɛ tɔn.” 
"They crucified two robbers with him, one on his right and one on his left. ","Yě ká ajotɔ́ axánsúnxó we nyi aklúzu jí gɔ́ n'i: mɛ ɖokpó ɖo ɖisí tɔn xwé, mɛ ɖokpó ɖo amyɔ tɔn xwé. [ "
"Those who passed by hurled insults at him, shaking their heads and saying, “So! You who are going to destroy the temple and build it in three days, ","Aligbɔntɔ́ lɛ́ɛ nɔ́ ɖo zunzun i wɛ, bó nɔ́ húnhún ta, bó nɔ́ ɖɔ: “Wǒóo nú we! Hwi mɛ e ɖo sinsɛnxɔ ná mu wɛ, bó ná sɔ́ azǎn atɔn ɖó te, bó vɔ́ ɖěvo gbá ɔ́ ɖíe a? "
come down from the cross and save yourself!” ,"Hwlɛ̌n hwiɖée gán, bó jɛ te sín aklúzu ɔ́ jí.” "
"In the same way the chief priests and the teachers of the law mocked him among themselves. “He saved others,” they said, “but he can't save himself! ","Mɔ̌ ɖokpó ɔ́, vɔ̌sánú-xwlémawutɔ́gán lɛ́ɛ kpódó sɛ́nkplɔ́nmɛtɔ́ lɛ́ɛ kpó nɔ́ ɖo cícá ɛ ko wɛ ɖo yěɖée tɛ́ntin, bó nɔ́ ɖɔ: “É hwlɛ́n mɛ ɖě lɛ́ɛ gán; é ka sixú hwlɛ́n éɖée gán ǎ! "
"Let this Christ, this King of Israel, come down now from the cross, that we may see and believe.” Those crucified with him also heaped insults on him. ","Klísu Izlayɛ́li ví lɛ́ɛ xɔ́sú ɔ́ ní bó jɛ te nú mǐ nǎ kpɔ́n; énɛ́ ɔ́, mǐ ná ɖi nǔ n'i.” Mɛ e è ká nyi aklúzu jí ɖo akpá tɔn lɛ́ɛ lɔmɔ̌ ɖo zunzun i wɛ. "
At the sixth hour darkness came over the whole land until the ninth hour. ,"Ée gan wěwe xo ɔ́, ablu dó ɖo ayǐkúngban jí káká yi jɛ gan atɔn mɛ. "
"And at the ninth hour Jesus cried out in a loud voice, “Eloi, Eloi, lama sabachthani?” –which means, “My God, my God, why have you forsaken me?” ","Ée gan atɔn xo ɔ́, Jezu sú xó tlílí, bó ɖɔ: “Elíi Elíi, lama sabakitani?” (Tínmɛ tɔn wɛ nyí: “Mawu ce, Mawu ce, nɛ̌ ká gbɔn bɔ a jǒ mì dó?”) "
"When some of those standing near heard this, they said, “Listen, he's calling Elijah.” ","Mɛ e ɖo fínɛ́ lɛ́ɛ ɖě se xó e Jezu ɖɔ nɛ́ ɔ́, bó ɖɔ: “Mi kpɔ́n! É ɖo Elíi ylɔ́ wɛ.” "
"One man ran, filled a sponge with wine vinegar, put it on a stick, and offered it to Jesus to drink. “Now leave him alone. Let's see if Elijah comes to take him down,” he said. ","Mɛ ɖokpó ka kán wezun, bó yi sɔ́ xumɛtekan nylɔ́ dó vɛ̌ɛn sinvɛ́sinvɛ́ mɛ, bó zé slɔ́ kpo nu, bó dlɛ́n dó e ɖɔ ní nu, lobo nɔ́ ɖɔ: “Mi gbɔ nú mǐ ná kpɔ́n ɖɔ Elíi ɔ́ ná wá ɖe e jɛ te a jí.” "
"With a loud cry, Jesus breathed his last. ","Jezu ka sú xó ɖaxó ɖé, bó bɔnu. "
The curtain of the temple was torn in two from top to bottom. ,Avɔ ɖaxó e è dó gbo sinsɛnxɔ ɔ́ mɛ ná ɔ́ dá ɖó we sín jǐ káká wá do. 
"And when the centurion, who stood there in front of Jesus, heard his cry and saw how he died, he said, “Surely this man was the Son of God!” ","Ée sɔ́ja kanwekogán Hlɔ̌manu e ɖo te ɖo Jezu nukɔn ɔ́ mɔ lě e é kú gbɔn ɔ́, é ɖɔ: “Nya élɔ́ ɔ́, Mawu ví wɛ é nyí nǔgbó.” "
"Some women were watching from a distance. Among them were Mary Magdalene, Mary the mother of James the younger and of Joses, and Salome. ","Nyɔ̌nu ɖé lɛ́ɛ lɔmɔ̌ ɖo te ɖo zɔga, bó ɖo nǔ e ɖo jijɛ wɛ ɔ́ kpɔ́n sɛ́ dó wɛ. Mali Magidalanu ɔ́ kpódó Mali e nyí Jaki kpɛví ɔ́ kpódó Jozée kpó sín nɔ ɔ́ kpó, kpódó Salomɛ́ɛ kpó ɖo nyɔ̌nu énɛ́ lɛ́ɛ mɛ. "
In Galilee these women had followed him and cared for his needs. Many other women who had come up with him to Jerusalem were also there. ,"Nyɔ̌nu énɛ́ lɛ́ɛ wɛ nɔ́ xwedó Jezu, bó nɔ́ gɔ́ alɔ n'i ɖo nǔ e hudó e lɛ́ɛ mɛ hwenu e é ɖo Galilée ɔ́. Nyɔ̌nu gěgé ɖěvo lɛ́ɛ xwedó e wá Jeluzalɛ́mu, bó ɖo fínɛ́. "
"It was Preparation Day (that is, the day before the Sabbath). So as evening approached, ","Ée zǎn jɛ bibɔ jí, bɔ gbe énɛ́ gbe ká lɛ́ nyí gbɔjɛzán Jwifu lɛ́ɛ tɔn kpo sɔ ɔ́, "
"Joseph of Arimathea, a prominent member of the Council, who was himself waiting for the kingdom of God, went boldly to Pilate and asked for Jesus' body. ","Jozɛ́fu Alimatéenu e nyí mɛ nukúnɖéjí ɖokpó ɖo toxóɖɔgbɛ́ Jwifu lɛ́ɛ tɔn mɛ ɔ́ wá; é lɔmɔ̌ ɖo te kpɔ́n axɔ́súɖuɖu Mawu tɔn. É ɖó akɔ́nkpinkpan, bó yi mɔ Pilátu, bó byɔ́ ɛ Jezu sín cyɔ. "
"Pilate was surprised to hear that he was already dead. Summoning the centurion, he asked him if Jesus had already died. ","Lě e Jezu yá wǔ kú gbɔn ɔ́ kpácá Pilátu, bɔ é ylɔ́ sɔ́ja kanwekogán ɔ́, bó kanbyɔ́ ɛ ɖɔ: “É kú ɔ́, é kó lín wɛ a?” "
"When he learned from the centurion that it was so, he gave the body to Joseph. ","Bɔ sɔ́ja kanwekogán ɔ́ yí gbe n'i ɖɔ é kó kú xóxó, bɔ é ná gbe Jozɛ́fu ɖɔ ní bó yi zé cyɔ ɔ́. "
"So Joseph bought some linen cloth, took down the body, wrapped it in the linen, and placed it in a tomb cut out of rock. Then he rolled a stone against the entrance of the tomb. ","Jozɛ́fu xɔ akwɛ́núvɔ ɖé, bó ɖe cyɔ ɔ́ sín aklúzu jí, bó lɛ́ avɔ ɔ́ dó e, lobo sɔ́ ɛ yi ɖi dó yɔdo ɖé mɛ, lobo blí awǐnnya ɖokpó bó dó sú yɔdo ɔ́ ná. Yɔdo énɛ́ ɔ́, sóxo mɛ wɛ è kun dó. "
"Mary Magdalene and Mary the mother of Joses saw where he was laid.When the Sabbath was over, Mary Magdalene, Mary the mother of James, and Salome bought spices so that they might go to anoint Jesus' body. ","Mali Magidalanu ɔ́ kpódó Mali Jozée sín nɔ kpó kpɔ́n fí e è ɖi i dó é.Ée gbɔjɛzán Jwifu lɛ́ɛ tɔn wá yi ɔ́, Mali Magidalanu ɔ́ kpódó Mali Jaki sín nɔ ɔ́ kpó, kpódó Salomɛ́ɛ kpó, xɔ nǔsáwǔ wǎnɖagbenɔ, bó ná yi sá nú Jezu sín cyɔ. "
"Very early on the first day of the week, just after sunrise, they were on their way to the tomb ","Aklúnɔzán gbe zǎnzǎn tɛɛn hwenu e hwe ɖo tíntɔ́n wɛ ɔ́, yě yi Jezu sín yɔdo kɔn. "
"and they asked each other, “Who will roll the stone away from the entrance of the tomb?” ",Yě nɔ́ kanbyɔ́ yěɖée ɖɔ: “Mɛ̌ ká ná blí awǐnnya e ɖo yɔdo ɔ́ nu ɔ́ síin nú mǐ?” 
"But when they looked up, they saw that the stone, which was very large, had been rolled away. ","Ée yě kpɔ́n dɔ̌n sɛ́ dó ɔ́, yě mɔ ɖɔ è ko blí awǐnnya ɖaxó énɛ́ ɔ́ sín yɔdo ɔ́ nu. "
"As they entered the tomb, they saw a young man dressed in a white robe sitting on the right side, and they were alarmed. ","Yě byɔ́ yɔdo ɔ́ mɛ, bó mɔ dɔ̌nkpɛvú ɖé ɖo ayǐjínjɔ́n ɖo ɖisíxwé, bɔ é dó awu wěwé, bɔ xɛsi ɖaxó ɖé jɛ yě jǐ. "
"“Don't be alarmed,” he said. “You are looking for Jesus the Nazarene, who was crucified. He has risen! He is not here. See the place where they laid him. ","Dɔ̌nkpɛvú ɔ́ ka ɖɔ nú yě ɖɔ: “Mi ma ɖi xɛsi ó; Jezu Nazalɛ́ti tɔn e è ká nyi aklúzu jí ɔ́ ba wɛ mi ɖe. È ko fɔ́n ɛ sín kú, é sɔ́ ɖo fí ǎ; fí e è ɖi i dó ɔ́ ɖíe. "
"But go, tell his disciples and Peter, ‘He is going ahead of you into Galilee. There you will see him, just as he told you.’ ” ","Lo ɔ́, mi yi ɖɔ nú Piyɛ́ɛ, kpódó ahwanvú ɖě lɛ́ɛ kpó ɖɔ: é ko jɛ nukɔn nú mi xwe Galilée. Fínɛ́ wɛ mi ná yi mɔ ɛ ɖe, lě e é ko ɖɔ gbɔn nú mi é.” "
"Trembling and bewildered, the women went out and fled from the tomb. They said nothing to anyone, because they were afraid. ","Ayi yětɔn bǐ gbadó, bɔ yě ɖo sísɔ́sísɔ́ wɛ, bó tɔ́n sín yɔdo ɔ́ mɛ, bó hɔn. Yě ká glá ɖɔ xó ɖé nú mɛɖé ǎ, ɖó yě ɖo xɛsi ɖi wɛ. [ "
"When Jesus rose early on the first day of the week, he appeared first to Mary Magdalene, out of whom he had driven seven demons. ","Ée è fɔ́n Jezu sín kú Aklúnɔzán gbe zǎnzǎn ɔ́, é tó sɔ́ éɖée xlɛ́ Mali Magidalanu e jí é nya yɛ nyanya tɛ́nwe sín é hwɛ̌. "
She went and told those who had been with him and who were mourning and weeping. ,"Éyɛ́ ka yi ɖɔ nú mɛ e kpódó Jezu kpó kó nɔ kpɔ́, bɔ yě wá ɖo aluwɛ mɛ, bó ɖo avǐ ya wɛ lɛ́ɛ é. "
"When they heard that Jesus was alive and that she had seen him, they did not believe it. ","Ée yě se ɖɔ Jezu ɖo gbɛ, bɔ Mali mɔ ɛ ɔ́, yě ɖi ǎ. "
Afterward Jesus appeared in a different form to two of them while they were walking in the country. ,"Énɛ́ ɔ́ gúdo ɔ́, Jezu sín ahwanvú we ɖo ali jí xwe gleta. Jezu ka sɔ́ ninɔmɛ ɖěvo, bo tɔ́n dó yě jǐ. "
These returned and reported it to the rest,Fon
Later Jesus appeared to the Eleven as they were eating,Fon
"He said to them, “Go into all the world and preach the good news to all creation. ","É ka ɖɔ nú yě ɖɔ: “Mi gbɔn gbɛ ɔ́ bǐ mɛ, bo jlá Wɛn Ɖagbe Mawu tɔn ɔ́ gbɛtɔ́ lɛ́ɛ bǐ. "
"Whoever believes and is baptized will be saved, but whoever does not believe will be condemned. ","Mɛ e ná ɖi nǔ, bɔ è nǎ lɛ yɛhwesin n'i ɔ́ ná gán. Mɛ e ma ka na ɖi nǔ ǎ ɔ́, è nǎ ɖǒ hwɛ n'i. "
And these signs will accompany those who believe: In my name they will drive out demons, 
"they will pick up snakes with their hands; and when they drink deadly poison, it will not hurt them at all; they will place their hands on sick people, and they will get well.” ","Yě na bo zé dan ɔ́, é ná wa nǔɖé nú yě ǎ; yě na bo nu nǔvɛ́nu ɔ́, é ná wa nǔɖé nú yě ǎ. Yě ná nɔ́ ɖó alɔ azinzɔnnɔ lɛ́ɛ jí, bó ná nɔ́ gbɔ azɔn nú yě.” "
"After the Lord Jesus had spoken to them, he was taken up into heaven and he sat at the right hand of God. ","Ée Aklúnɔ ɖɔ xó énɛ́ lɛ́ɛ nú yě gúdo ɔ́, è sɔ́ ɛ yi jǐnukúnsin, bɔ é jínjɔ́n ɖisíxwé nú Mawu. "
"Then the disciples went out and preached everywhere, and the Lord worked with them and confirmed his word by the signs that accompanied it.Many have undertaken to draw up an account of the things that have been fulfilled among us, ","Ahwanvú tɔn lɛ́ɛ ka sɔ́nǔ, bó jɛ Mawuxó jlá jí gbɔn fí bǐ. Aklúnɔ nɔ́ dó alɔ yě ɖo azɔ̌ énɛ́ kɔn, bó nɔ́ ɖe xlɛ́ ɖɔ xó e ɖɔ wɛ yě ɖe ɔ́ nyí nǔgbó, gbɔn nǔdábaɖa e yě nɔ́ jlɛ́ lɛ́ɛ gbla mɛ.]Teofílu! Mɛ gěgé tɛ́nkpɔ́n bó kpi nǔ e jɛ ɖo tɛ́ntin mǐtɔn lɛ́ɛ é sín tan dó wěma mɛ. "
just as they were handed down to us by those who from the first were eyewitnesses and servants of the word. ,Yě ɖɔ nǔ lɛ́ɛ lě e mawuxójlátɔ́ e mɔ nǔ e jɛ lɛ́ɛ sín bǐbɛ́mɛ ɔ́ ɖɔ nú mǐ gbɔn é. 
"Therefore, since I myself have carefully investigated everything from the beginning, it seemed good also to me to write an orderly account for you, most excellent Theophilus, ","Énɛ́ wú wɛ un yi ba do nú nǔ énɛ́ lɛ́ɛ bǐ céɖécéɖé sín bǐbɛ́mɛ yětɔn, bó nywɛ́ ɖɔ má wlán nǔ e jɛ nɛ́ lɛ́ɛ ɖě jɛ ɖě gúdo sɛ́ dó we, "
so that you may know the certainty of the things you have been taught. ,bónú a nǎ dó tunwun nǔgbó e ɖo nǔ e è kplɔ́n we lɛ́ɛ mɛ é. 
"In the time of Herod king of Judea there was a priest named Zechariah, who belonged to the priestly division of Abijah; his wife Elizabeth was also a descendant of Aaron. ","Hwenu e Elódu ɖo axɔ́sú ɖu wɛ ɖo Jwifu lɛ́ɛ sín tomɛ ɔ́, vɔ̌sánú-xwlémawutɔ́ ɖokpó ɖo fínɛ́, bɔ è nɔ ylɔ́ ɛ ɖɔ Zakalíi, bɔ é ɖo vɔ̌sánú-xwlémawutɔ́ Abiya sín gbɛ̌ta mɛ. Asi tɔn nɔ nyí Elizabɛ́ti, bó jɔ ɖo vɔ̌sánú-xwlémawutɔ́ ɖaxó Aalɔ́ɔn sín kúnkan mɛ. "
"Both of them were upright in the sight of God, observing all the Lord's commandments and regulations blamelessly. ","Yě mɛ we lɛ́ɛ bǐ wɛ nɔ wa jlǒ Mawu tɔn, bó nɔ́ nyi Aklúnɔ sɛ́n lɛ́ɛ, bɔ nǔ bǐ vɔ ɖ'é wú. "
"But they had no children, because Elizabeth was barren; and they were both well along in years. ","Yě ká ji vǐ ǎ, ɖó wɛnsinɔ wɛ nú Elizabɛ́ti, bɔ yě mɛ we lɛ́ɛ bǐ sín xwe ka ko sɛ yi. "
"Once when Zechariah's division was on duty and he was serving as priest before God, ","É wá su gbe ɖokpó, bɔ Zakalíi ɖo vɔ̌sánú-xwlémawutɔ́ sín azɔ̌ tɔn lɛ́ɛ wa wɛ ɖo Mawu nukɔn, ɖó gbɛ̌ta e mɛ é ɖe ɔ́ jí wɛ sinsɛnxɔmɛzɔ́ jɛ hwe énɛ́ nu. "
"he was chosen by lot, according to the custom of the priesthood, to go into the temple of the Lord and burn incense. ","È ka wá nyi akɔ, bó zé Zakalíi lě e walɔ vɔ̌sánú-xwlémawutɔ́ lɛ́ɛ tɔn zɔ́n gbɔn é, nú é ná byɔ́ tɛn mímɛ́ Aklúnɔ tɔn mɛ, bó ná dó zǎlínkpɔ́n zo, bó xwlé Mawu. "
"And when the time for the burning of incense came, all the assembled worshipers were praying outside. ","Togun ɔ́ bǐ kplé ɖo hɛnkɛ́n, bó ɖo ɖɛ xo wɛ hwenu e Zakalíi ɖo zǎlínkpɔ́n dó zo wɛ é. "
"Then an angel of the Lord appeared to him, standing at the right side of the altar of incense. ","Wɛnsagun Mawu tɔn ɖokpó ká tɔ́n dó Zakalíi jí, bó ɖo te ɖo ɖisíxwé nú vɔ̌sákpe e jí è nɔ dó zǎlínkpɔ́n zo ɖe é. "
"When Zechariah saw him, he was startled and was gripped with fear. ","Ée Zakalíi mɔ ɛ lě ɔ́, ayi tɔn bǐ gbadó, bɔ xɛsi jɛ jǐ tɔn. "
"But the angel said to him: “Do not be afraid, Zechariah; your prayer has been heard. Your wife Elizabeth will bear you a son, and you are to give him the name John. ","Wɛnsagun ɔ́ ka ɖɔ n'i ɖɔ: “Zakalíi, ma ɖi xɛsi ó; ɖó Mawu yí gbe nú nǔ e a byɔ́ ɛ é. Asi towe Elizabɛ́ti ná ji vǐ súnnu ɖokpó nú we, bɔ a nǎ sun nyǐ i ɖɔ Jǎan. "
"He will be a joy and delight to you, and many will rejoice because of his birth, ","É ná víví nú we, bɔ a nǎ j'awǎ tɔn, bɔ xomɛ ná hun mɛ gěgé ɖó jiji tɔn wú. "
"for he will be great in the sight of the Lord. He is never to take wine or other fermented drink, and he will be filled with the Holy Spirit even from birth. ",Đó é ná nyí gbɛtɔ́ nukúnɖéjí ɖokpó ɖo Aklúnɔ nukún mɛ. Vɛ̌ɛn kpódó ahan syɛ́nsyɛ́n kpó ɖěbǔ ná jɛ nu tɔn ǎ. Yɛsinsɛn ná kó gɔ́ ayi mɛ n'i sín nɔ tɔn xomɛ. 
Many of the people of Israel will he bring back to the Lord their God. ,É ná bló bɔ Izlayɛ́li ví gěgé ná lɛ́ kɔ wá Aklúnɔ Mawu yětɔn gɔ́n. 
"And he will go on before the Lord, in the spirit and power of Elijah, to turn the hearts of the fathers to their children and the disobedient to the wisdom of the righteous–to make ready a people prepared for the Lord.” ","Mawu ná ná ɛ Yɛ e é ná Elíi é, bó ná lɛ́ ná ɛ hlɔ̌nhlɔ́n e é ná Elíi é, bɔ é ná wá jɛ nukɔn nú Aklúnɔ bó ná dó hwɛ gbɔ nú tɔ́ kpódó vǐ kpó. É ná bló bɔ mɛ e ma nɔ se tónú nú Mawu ǎ lɛ́ɛ ná jɛ jlǒ Mawu tɔn wa jí, bó ná dó sixú bló togun Mawu tɔn ɖó ɖ'ayǐ nú Aklúnɔ.” "
"Zechariah asked the angel, “How can I be sure of this? I am an old man and my wife is well along in years.” ","Zakalíi ka kanbyɔ́ wɛnsagun ɔ́ ɖɔ: “Ani wɛ ná xlɛ́ mì ɖɔ nǔ mɔ̌hunkɔ ná jɛ? Nyɛ ɖíe kó kpo e, bɔ asi ce lɔ sín xwe ka ko sɛ yi.” "
"The angel answered, “I am Gabriel. I stand in the presence of God, and I have been sent to speak to you and to tell you this good news. ","Wɛnsagun ɔ́ yí gbe n'i ɖɔ: “Nyɛ wɛ nyí Gabliyɛ́li, bó nɔ́ nɔ te ɖo Mawu nukɔn. É wɛ sɛ́ mì dó, nú má ɖɔ xó nú we, lobo dó Wɛn Ɖagbe énɛ́ we. "
"And now you will be silent and not able to speak until the day this happens, because you did not believe my words, which will come true at their proper time.” ","Xó e un ɖɔ nú we ɔ́ ná jɛ ɖo hwe tɔn nu. Lo ɔ́, ɖěe a ma ɖi nǔ nú mì ǎ ɔ́, ɖɛ̌ towe ná kú, bɔ xó ɖiɖɔ ná gló we, káká jɛ hwenu e nǔ lɛ́ɛ bǐ ná jɛ dó é.” "
"Meanwhile, the people were waiting for Zechariah and wondering why he stayed so long in the temple. ","Hwenu e nǔ énɛ́ lɛ́ɛ ɖo jijɛ wɛ ɔ́, togun ɔ́ ka ɖo te kpɔ́n Zakalíi, bɔ lě e é lin sɔ ɖo sinsɛnxɔ ɔ́ mɛ ɔ́ nyí nǔ, bó hu ado nú yě. "
"When he came out, he could not speak to them. They realized he had seen a vision in the temple, for he kept making signs to them but remained unable to speak. ","Ée é wá tɔ́n ɔ́, é sɔ́ sixú ɖɔ xó nú yě ǎ, bɔ yě mɔ nukúnnú jɛ wú ɖɔ nǔ wɛ é mɔ ɖo sinsɛnxɔ ɔ́ mɛ, bɔ é gbɔ bó nɔ́ sɔ́ alɔ dó ɖɔ xó nú yě, lobɔ ɖɛ̌ tɔn nɔ kúkú mɔ̌. "
"When his time of service was completed, he returned home. ","Ée azǎn nabí e Zakalíi ɖó ná wa azɔ̌ ɔ́ ná ɖo sinsɛnxɔ ɔ́ mɛ ɔ́ fó ɔ́, é yi xwé. "
After this his wife Elizabeth became pregnant and for five months remained in seclusion. ,"Azǎn ɖé jɛ ǎ, bɔ asi tɔn Elizabɛ́ti mɔ xo; é sɔ́ nɔ́ tɔ́n sín xwé tɔn gbe ǎ káká xɔ sun atɔ́ɔ́n, bó nɔ́ ɖɔ jí: "
"“The Lord has done this for me,” she said. “In these days he has shown his favor and taken away my disgrace among the people.” ","“Aklúnɔ sín nǔwiwa ɖíe; é lɛ́ kɔ kpɔ́n mì, lobo ɖe winnyá nú mì ɖo gbɛtɔ́ lɛ́ɛ nukɔn.” "
"In the sixth month, God sent the angel Gabriel to Nazareth, a town in Galilee, ","Ée Elizabɛ́ti sín adɔgo ɖó sun ayizɛ́n ɔ́, Mawu sɛ́ wɛnsagun Gabliyɛ́li dó Galilée sín toxo e è nɔ ylɔ́ ɖɔ Nazalɛ́ti é mɛ, nú é ná yi dó wɛn ɖyɔ̌vǐ ɖé. Đyɔ̌vǐ énɛ́ ɔ́, è nɔ ylɔ́ ɛ ɖɔ Mali, bɔ é nyí asixɔ́ntɔn nú Jozɛ́fu e jɔ ɖo axɔ́sú Davídi hɛ́nnu mɛ é. "
"The angel went to her and said, “Greetings, you who are highly favored! The Lord is with you.” ","Wɛnsagun ɔ́ yi Mali gɔ́n, ɖo xwé tɔn gbe, bó dó gbe e ɖɔ: “Mali, fífá ní nɔ kpɔ́ xá we. Mawu jɔwǔ we; Aklúnɔ ɖo kpɔ́ xá we.” "
Mary was greatly troubled at his words and wondered what kind of greeting this might be. ,"Ée Mali se mɔ̌ ɔ́, ayi tɔn gbadó, bɔ é ɖo kinkanbyɔ́ éɖée wɛ ɖɔ: “Gbedómɛ alɔkpa tɛ́ ká ɖíe?” "
"But the angel said to her, “Do not be afraid, Mary, you have found favor with God. ","Wɛnsagun ɔ́ ká ɖɔ n'i ɖɔ: “Mali, ma ɖi xɛsi ó; ɖó Mawu jɔwǔ we; "
"You will be with child and give birth to a son, and you are to give him the name Jesus. ","bo tunwun ɖɔ a nǎ mɔ xo, bó ná ji vǐ súnnu ɖokpó, bó ná sun nyǐ i ɖɔ Jezu. "
"He will be great and will be called the Son of the Most High. The Lord God will give him the throne of his father David, ","É ná nyí mɛ nukúnɖéjí ɖé, bɔ è nǎ nɔ́ ylɔ́ ɛ ɖɔ Mawu Ajalɔ̌nlɔn ví. Aklúnɔ Mawu ná sɔ́ ɛ ɖó tɔ́ tɔn Davídi sín axɔ́súzinkpo jí. "
and he will reign over the house of Jacob forever,Fon
"“How will this be,” Mary asked the angel, “since I am a virgin?” ",Mali ká kanbyɔ́ wɛnsagun ɔ́ ɖɔ: “Nɛ̌ wɛ nǔ ká sixú nyí mɔ̌ gbɔn? Nyi ɖíe ma tunwun súnnu kpɔ́n ǎ e.” 
"The angel answered, “The Holy Spirit will come upon you, and the power of the Most High will overshadow you. So the holy one to be born will be called the Son of God. ","Wɛnsagun ɔ́ ká yí gbe n'i ɖɔ: “Yɛsinsɛn ná wá jǐ towe, bó ná ɖe hlɔ̌nhlɔ́n Mawu tɔn xlɛ́; énɛ́ ɔ́ wú wɛ vǐ e a nǎ ji ɔ́, è nǎ nɔ́ ylɔ́ ɛ ɖɔ mɛɖeɖóvo Mawu tɔn, bó ná nɔ́ ylɔ́ ɛ ɖɔ Mawu ví. "
"Even Elizabeth your relative is going to have a child in her old age, and she who was said to be barren is in her sixth month. ","Éɖíe! Elizabɛ́ti hɛ̌nnumɔ towe e nyí wɛnsinɔ ɔ́ lɔmɔ̌ mɔ xo ɖo kpikpo tɔn mɛ, bɔ adɔgo tɔn ko ɖó sun ayizɛ́n. "
For nothing is impossible with God.” ,Đó nǔ ɖěbǔ gló Mawu ǎ.” 
